,0
authority,Cokdcvr1q3xZu6xGBZ4s4Yuh6YSGH4WtfE3yab7PQVB1
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,100071569
taker_volume30d,147345901
filler_volume30d,0
last_maker_volume30d_ts,1669931129
last_taker_volume30d_ts,1670370841
last_filler_volume30d_ts,1669841689
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,167024
userfees.total_fee_rebate,20571
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
